timestamp,currency,walletBalance,marginBalance,availableMargin,withdrawableMargin,systemWithdrawableMargin,amount,realisedPnl,unrealisedPnl,marginLeverage,marginUsedPcnt,riskLimit,riskValue,initMargin,maintMargin,excessMargin,foreignMarginBalance,foreignRequirement,grossComm,grossMarkValue,grossOpenCost,grossOpenPremium,isolatedUnrealisedPnl,targetExcessMargin
2026-04-17T16:18:45.506Z,XBt,3041393535,2926202938,2910480999,2910480999,2910480999,3041393535,0,-115190597,0.6301,0.0054,1000000000000,2644284443,8808343,6913596,2910480999,0,0,0,1843889880,800394563,0,0,2910480999
2025-12-01T11:57:33.421Z,BMEx,11000120000,11000120000,11000120000,11000120000,11000120000,11000120000,0,0,0,0,9223372036854775807,0,0,0,11000120000,0,0,0,0,0,0,0,11000120000
2025-11-25T09:26:39.328Z,ADa,0,0,0,0,0,0,0,0,0,0,9223372036854775807,0,0,0,0,0,0,0,0,0,0,,0
2025-11-25T09:26:35.879Z,BNb,0,0,0,0,0,0,0,0,0,0,9223372036854775807,0,0,0,0,0,0,0,0,0,0,,0
2025-11-25T09:25:19.588Z,s,0,0,0,0,0,0,0,0,0,0,9223372036854775807,0,0,0,0,0,0,0,0,0,0,,0
2025-11-25T09:25:15.882Z,ATOm,0,0,0,0,0,0,0,0,0,0,9223372036854775807,0,0,0,0,0,0,0,0,0,0,,0
2025-11-25T09:25:04.934Z,LTc,0,0,0,0,0,0,0,0,0,0,9223372036854775807,0,0,0,0,0,0,0,0,0,0,,0
2025-11-25T09:24:33.788Z,AVAx,0,0,0,0,0,0,0,0,0,0,9223372036854775807,0,0,0,0,0,0,0,0,0,0,,0
2025-11-25T09:24:32.216Z,LOt,0,0,0,0,0,0,0,0,0,0,9223372036854775807,0,0,0,0,0,0,0,0,0,0,,0
2025-11-25T09:24:03.095Z,POl,0,0,0,0,0,0,0,0,0,0,9223372036854775807,0,0,0,0,0,0,0,0,0,0,,0
2025-11-25T09:23:29.114Z,BCh,0,0,0,0,0,0,0,0,0,0,9223372036854775807,0,0,0,0,0,0,0,0,0,0,,0
2025-11-25T09:23:24.734Z,XRp,0,0,0,0,0,0,0,0,0,0,9223372036854775807,0,0,0,0,0,0,0,0,0,0,,0
2025-11-25T09:22:55.592Z,NEAr,0,0,0,0,0,0,0,0,0,0,9223372036854775807,0,0,0,0,0,0,0,0,0,0,,0
2025-11-25T09:22:52.847Z,DOGe,0,0,0,0,0,0,0,0,0,0,9223372036854775807,0,0,0,0,0,0,0,0,0,0,,0
2025-06-05T03:35:55.742Z,USDt,294847649,294847649,294847649,294847649,294847649,294847649,0,0,0,0,500000000000000,0,0,0,294847649,0,0,0,0,0,0,0,294847649
